word,valence,arousal,dominance,n_collapsed
atomic,4.26,5.85,3.96,1
atone,5.6,4.0,5.65,1
atrium,5.95,3.57,5.22,1
atrocious,3.14,4.12,4.35,1
atrocity,2.95,5.0,2.96,1
atrophy,3.16,3.86,4.0,1
attach,5.26,3.81,4.7,1
attachment,6.0,2.96,6.32,1
attack,2.0,7.05,3.39,1
attacker,2.23,7.27,4.26,1
attain,5.85,3.11,7.08,1
attempt,5.675,4.29,6.095,1
attend,5.4,3.5,6.7,1
attendance,5.95,4.24,5.59,1
attendant,5.63,3.14,5.09,1
attention,6.68,4.05,6.47,1
attentive,6.43,4.37,6.62,1
attest,5.1,3.68,6.26,1
attic,4.95,3.45,5.36,1
attire,6.16,3.95,5.78,1
attitude,4.72,4.76,5.88,1
attorney,3.67,4.8,5.53,1
attract,6.38,5.35,5.6,1
attraction,7.0,5.4,4.62,1
attractive,7.19,4.91,6.81,1
attribute,5.67,4.12,6.0,1
auburn,5.89,3.62,5.61,1
auction,5.43,4.5,5.33,1
auctioneer,5.09,4.0,5.37,1
audacious,5.11,4.28,5.41,1
audacity,5.2,4.1,5.33,1
audible,6.05,4.45,6.26,1
audience,5.89,4.91,5.14,1
audio,6.56,4.29,5.96,1
audit,2.82,5.78,3.68,1
audition,5.2,4.24,6.0,1
auditor,3.26,3.7,5.2,1
auditorium,6.05,4.45,5.05,1
auditory,5.05,4.5,6.11,1
aunt,6.56,2.71,4.28,1
auntie,6.24,3.58,5.79,1
aura,6.45,4.7,5.65,1
auspicious,4.76,3.39,5.5,1
authentic,6.91,4.55,6.58,1
authenticate,5.1,4.36,5.78,1
authenticity,6.81,4.42,6.23,1
author,6.33,2.73,6.38,1
authority,4.76,5.35,5.19,1
authorization,5.86,4.32,4.77,1
authorize,5.37,4.67,6.54,1
autism,3.2,4.1,3.12,1
autistic,3.62,4.24,2.43,1
auto,5.0,4.95,5.7,1
autobiographical,4.82,3.74,5.89,1
autobiography,5.79,2.85,6.5,1
autograph,6.175,4.1,6.26,1
automated,4.74,4.05,4.5,1
automatic,6.05,3.7,5.27,1
automobile,5.45,3.91,6.0,1
automotive,5.37,4.5,5.38,1
autonomy,5.05,4.09,6.19,1
autopilot,5.65,4.11,3.72,1
autopsy,2.62,4.36,3.22,1
autumn,7.12,3.21,5.17,1
auxiliary,5.26,3.61,5.81,1
avail,5.42,3.77,6.0,1
availability,5.68,4.38,5.5,1
available,6.86,4.04,6.59,1
avalanche,4.0,6.55,3.24,1
avenge,4.47,6.225,6.234999999999999,1
avenue,5.74,3.3,5.18,1
average,4.89,3.29,5.59,1
aversion,4.0,5.14,4.81,1
avert,5.16,3.62,5.22,1
aviation,5.9,4.05,5.62,1
aviator,6.39,4.67,6.13,1
avid,5.74,4.32,5.71,1
avocado,6.32,4.05,5.22,1
avoid,4.1,3.92,4.81,1
avoidance,3.35,4.95,4.88,1
await,5.33,2.91,4.71,1
awake,6.76,5.5,6.68,1
awaken,6.23,4.48,6.315,1
award,7.86,5.85,6.9,1
aware,6.86,4.7,7.05,1
awareness,6.45,3.73,7.22,1
awe,6.85,3.83,5.85,1
awed,6.05,4.21,6.0,1
awesome,7.86,6.05,7.11,1
awful,2.28,4.86,3.06,1
